dataset,split,variant,rows,total_tokens,mean_tokens,tokenizer_source,source_path,unit,notes
GPT-Wikipedia,valid,pt-BR,564,15244,27.028369,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_valid.jsonl,pair_text,
GPT-Wikipedia,valid,pt-PT,564,15380,27.269504,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_valid.jsonl,pair_text,
Golden Collection,test,pt-BR,500,14166,28.332000,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::gold_test.text_pt_br,pair_text,
Golden Collection,test,pt-PT,500,14285,28.570000,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::gold_test.ref_pt_pt_manual,pair_text,
OpenSubs,train,pt-BR,10347883,113121931,10.931891,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::train_data.text_pt_br,pair_text,
OpenSubs,train,pt-PT,10347883,116213290,11.230634,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::train_data.text_pt_pt,pair_text,
PtBrVId-Raw,train,pt-BR,337146,38307825,113.623845,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,"data/duckdb/subs_ptbr_filtered.duckdb::ptbrvarid[label=pt-BR,split=train]",variant_text,
PtBrVId-Raw,train,pt-PT,2653849,333258753,125.575627,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,"data/duckdb/subs_ptbr_filtered.duckdb::ptbrvarid[label=pt-PT,split=train]",variant_text,
PtBrVId-TranslatedStageB,test,pt-BR,400,62731,156.827500,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/ptbrvarid_translated_stageB_r48_500_t50/pairs_test.jsonl,pair_text,
PtBrVId-TranslatedStageB,test,pt-PT,400,62991,157.477500,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/ptbrvarid_translated_stageB_r48_500_t50/pairs_test.jsonl,pair_text,
PtBrVId-TranslatedStageB,train,pt-BR,3600,572533,159.036944,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/ptbrvarid_translated_stageB_r48_500_t50/pairs_train.jsonl,pair_text,
PtBrVId-TranslatedStageB,train,pt-PT,3600,575417,159.838056,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/ptbrvarid_translated_stageB_r48_500_t50/pairs_train.jsonl,pair_text,
